datetime_AEST,datetime_local,location_id,location_name,BPM2.5
2020-12-09 22:00:00,2020-12-09 23:00:00,10239,Melbourne CBD,3.6
2020-12-09 23:00:00,2020-12-10 00:00:00,10239,Melbourne CBD,4.733
2020-12-10 00:00:00,2020-12-10 01:00:00,10239,Melbourne CBD,6.45
2020-12-10 01:00:00,2020-12-10 02:00:00,10239,Melbourne CBD,5.95
2020-12-10 02:00:00,2020-12-10 03:00:00,10239,Melbourne CBD,-0.133
2020-12-10 03:00:00,2020-12-10 04:00:00,10239,Melbourne CBD,1.2
2020-12-10 04:00:00,2020-12-10 05:00:00,10239,Melbourne CBD,-1.483
2020-12-10 05:00:00,2020-12-10 06:00:00,10239,Melbourne CBD,4.85
2020-12-10 06:00:00,2020-12-10 07:00:00,10239,Melbourne CBD,-2.65
2020-12-10 07:00:00,2020-12-10 08:00:00,10239,Melbourne CBD,0.183
2020-12-10 08:00:00,2020-12-10 09:00:00,10239,Melbourne CBD,6.367
2020-12-10 09:00:00,2020-12-10 10:00:00,10239,Melbourne CBD,8.133
2020-12-10 10:00:00,2020-12-10 11:00:00,10239,Melbourne CBD,8.733
2020-12-10 11:00:00,2020-12-10 12:00:00,10239,Melbourne CBD,11.85
2020-12-10 12:00:00,2020-12-10 13:00:00,10239,Melbourne CBD,12.55
2020-12-10 13:00:00,2020-12-10 14:00:00,10239,Melbourne CBD,5.583
2020-12-10 14:00:00,2020-12-10 15:00:00,10239,Melbourne CBD,7.533
2020-12-10 15:00:00,2020-12-10 16:00:00,10239,Melbourne CBD,4
2020-12-10 16:00:00,2020-12-10 17:00:00,10239,Melbourne CBD,4.567
2020-12-10 17:00:00,2020-12-10 18:00:00,10239,Melbourne CBD,5.067
2020-12-10 18:00:00,2020-12-10 19:00:00,10239,Melbourne CBD,-2.8
2020-12-10 19:00:00,2020-12-10 20:00:00,10239,Melbourne CBD,5.317
2020-12-10 20:00:00,2020-12-10 21:00:00,10239,Melbourne CBD,3.75
2020-12-10 21:00:00,2020-12-10 22:00:00,10239,Melbourne CBD,4.033
2020-12-10 22:00:00,2020-12-10 23:00:00,10239,Melbourne CBD,3.933
2020-12-10 23:00:00,2020-12-11 00:00:00,10239,Melbourne CBD,5.967
2020-12-11 00:00:00,2020-12-11 01:00:00,10239,Melbourne CBD,6.417
2020-12-11 01:00:00,2020-12-11 02:00:00,10239,Melbourne CBD,5.8
2020-12-11 02:00:00,2020-12-11 03:00:00,10239,Melbourne CBD,1.467
2020-12-11 03:00:00,2020-12-11 04:00:00,10239,Melbourne CBD,3
2020-12-11 04:00:00,2020-12-11 05:00:00,10239,Melbourne CBD,3.483
2020-12-11 05:00:00,2020-12-11 06:00:00,10239,Melbourne CBD,3.25
2020-12-11 06:00:00,2020-12-11 07:00:00,10239,Melbourne CBD,8.65
2020-12-11 07:00:00,2020-12-11 08:00:00,10239,Melbourne CBD,6.767
2020-12-11 08:00:00,2020-12-11 09:00:00,10239,Melbourne CBD,16.7
2020-12-11 09:00:00,2020-12-11 10:00:00,10239,Melbourne CBD,5.067
2020-12-11 10:00:00,2020-12-11 11:00:00,10239,Melbourne CBD,14.517
2020-12-11 11:00:00,2020-12-11 12:00:00,10239,Melbourne CBD,11.017
2020-12-11 12:00:00,2020-12-11 13:00:00,10239,Melbourne CBD,5.267
2020-12-11 13:00:00,2020-12-11 14:00:00,10239,Melbourne CBD,6.1
2020-12-11 14:00:00,2020-12-11 15:00:00,10239,Melbourne CBD,4.65
2020-12-11 15:00:00,2020-12-11 16:00:00,10239,Melbourne CBD,3.35
2020-12-11 16:00:00,2020-12-11 17:00:00,10239,Melbourne CBD,4.983
2020-12-11 17:00:00,2020-12-11 18:00:00,10239,Melbourne CBD,3.85
2020-12-11 18:00:00,2020-12-11 19:00:00,10239,Melbourne CBD,2.45
2020-12-11 19:00:00,2020-12-11 20:00:00,10239,Melbourne CBD,6.6
2020-12-11 20:00:00,2020-12-11 21:00:00,10239,Melbourne CBD,5.117
2020-12-11 21:00:00,2020-12-11 22:00:00,10239,Melbourne CBD,5.083
2020-12-11 22:00:00,2020-12-11 23:00:00,10239,Melbourne CBD,0.083
2020-12-11 23:00:00,2020-12-12 00:00:00,10239,Melbourne CBD,-0.2
2020-12-12 00:00:00,2020-12-12 01:00:00,10239,Melbourne CBD,0
2020-12-12 01:00:00,2020-12-12 02:00:00,10239,Melbourne CBD,1.333
2020-12-12 02:00:00,2020-12-12 03:00:00,10239,Melbourne CBD,2.433
2020-12-12 03:00:00,2020-12-12 04:00:00,10239,Melbourne CBD,2.2
2020-12-12 04:00:00,2020-12-12 05:00:00,10239,Melbourne CBD,2.8
2020-12-12 05:00:00,2020-12-12 06:00:00,10239,Melbourne CBD,6.817
2020-12-12 06:00:00,2020-12-12 07:00:00,10239,Melbourne CBD,6.867
2020-12-12 07:00:00,2020-12-12 08:00:00,10239,Melbourne CBD,13.85
2020-12-12 08:00:00,2020-12-12 09:00:00,10239,Melbourne CBD,17
2020-12-12 09:00:00,2020-12-12 10:00:00,10239,Melbourne CBD,12.317
